id,c_code,c_title,c_section,c_credit,notes,tom_notes
146,3150,Advanced Programming,3,3,no cost,
147,3150,Advanced Programming,1,3,no cost,
148,3150,Advanced Programming,2,3,no cost,
149,3200,Intro to Databases,2,3,,
150,3200,Intro to Databases,6,3,,
151,3200,Intro to Databases,1,3,,
152,3200,Intro to Databases,4,3,,
153,3200,Intro to Databases,3,3,,
154,3200,Intro to Databases,5,3,,
155,3300,Information Security,2,3,,
156,3300,Information Security,4,3,,
157,3300,Information Security,1,3,,
158,3350,Digital Commerce,1,3,,
159,3350,Digital Commerce,3,3,,
160,3350,Digital Commerce,2,3,,
161,3450,Comp Graphics and Multimedia,2,3,low cost,
162,3450,Comp Graphics and Multimedia,1,3,low cost,
163,3600,Operating Systems,1,3,,
164,3600,Operating Systems,2,3,,
165,3700,Systems Analysis and Design,1,3,,
166,3700,Systems Analysis and Design,2,3,,
167,3700,Systems Analysis and Design,3,3,,
168,3700,Systems Analysis/Design,4,3,,
169,3860,Software Development I,1,4,,
170,3860,Software Development I,2,4,,
171,3870,Software Development II,1,4,no cost,
172,3870,Software Development II,2,4,no cost,
173,3900,Professional Pract & Ethics,4,3,,
174,3900,Professional Pract & Ethics,2,3,,
175,3900,Professional Pract & Ethics,1,3,,
176,3900,Professional Pract & Ethics,3,3,,
177,4100,Advanced Networks,1,3,no cost,
178,4110,Digital Media Capstone Project,1,4,,
179,4130,Human Computer Interaction,1,3,,
180,4150,Enterprise Process Integration,1,4,,
181,4200,Advanced Databases,2,4,low cost,
182,4200,Advanced Databases,1,4,low cost,
183,4210,Information Analytics,1,3,,
184,4260,Software Testing and QA,1,3,,
185,4260,Software Testing and QA,2,3,,
186,4320,Internet Security,1,3,,
187,4330,System Administration,1,4,,
188,4330,System Administration,2,4,,
189,4400,Special Topics in Infor. Tech.,3,4,hidden,
190,4400,Sp Topics in Info Tech,1,1,low cost,
191,4400,Special Topics in Infor. Tech.,2,1,hidden,
192,4400,Special Topics in Infor. Tech.,4,1,hidden,
193,4400,Special Topics in Infor. Tech.,5,1,hidden,
194,4450,Web Development,1,4,,
195,4450,Web Development,2,4,,
196,4500,Undergraduate Research Project,1,3,,
197,4550,Mobile Application Development,2,3,,
198,4550,Mobile Application Development,1,3,,
199,4650,Game Development,1,3,,
200,4700,Artificial Intelligence,1,3,,
201,4750,Enterprise Arch Design-Hybrid,1,4,,
202,4800,Internship in Service Learning,3,3,hidden,
203,4800,Internship in Service Learning,4,3,hidden,
204,4800,Internship in Service Learning,1,3,no cost,
205,4800,Internship in Service Learning,2,3,no cost,
206,4810,Info Technology Project I,1,3,no cost,
207,4860,Software Development Project,1,3,low cost,
208,4860,Software Development Project,3,3,low cost,
209,4860,Software Development Project,4,3,low cost,
210,4900,Info Technology Internship,1,3,no cost,
